"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38"
"39","64","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","w"
"40","65","0","0","1","0","0","1","1","1","1","0","1","1","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","1","1","0","0","0","1","1","1","1","m"
"41","66","0","0","0","1","0","0","1","0","0","1","1","1","1","1","1","1","0","1","1","1","0","1","1","1","1","0","1","1","1","0","1","1","1","1","0","1","m"
"42","67","0","0","1","1","1","1","0","1","1","1","1","0","0","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","0","1","0","0","0","1","1","1","m"
"43","69","0","0","1","1","1","0","0","1","1","1","1","1","1","0","1","1","0","1","1","1","1","1","1","1","0","1","0","1","0","1","1","1","1","0","0","1","w"
"44","70","1","1","1","1","0","1","1","1","0","0","1","0","1","1","1","1","1","1","0","1","1","1","1","0","0","1","1","0","0","1","0","1","1","1","1","1","m"
"45","72","0","1","1","1","0","0","0","1","1","1","1","1","0","1","1","1","1","1","1","0","1","1","0","1","1","1","0","0","1","1","0","1","1","0","1","1","m"
"46","73","0","1","1","0","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","0","1","1","W"
"47","74","0","1","0","1","1","0","1","1","0","1","0","1","1","1","1","0","0","1","1","0","0","1","1","0","1","1","0","0","1","1","0","1","0","0","1","1","w"
"48","75","1","1","1","1","1","1","0","1","1","0","1","1","1","1","1","0","1","0","0","1","1","1","1","1","0","1","1","1","1","1","1","0","1","0","1","1","w"
"49","76","0","0","1","0","1","1","0","1","1","0","1","0","0","0","1","1","0","1","1","1","1","0","1","1","1","1","0","1","0","0","1","1","1","1","0","1","m"
"50","77","0","0","1","1","1","0","1","1","1","1","1","1","0","1","1","0","1","1","0","0","0","1","1","1","0","1","0","1","0","0","0","0","1","1","1","1","w"
"51","78","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","1","m"
"52","80","1","1","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","0","1","1","1","0","1","0","0","0","0","1","1","1","1","1","1","Weiblich"
